STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-01,0,0,0,72,32,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-02,0,0,0,70,36,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-03,0,0,0,67,38,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-04,0.02,0,0,64,34,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-05,0,0,0,70,34,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-06,0,0,0,68,40,46
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-07,0.02,0,0,72,36,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-08,0,0,0,64,40,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-09,0.16,0,0,66,38,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-10,0,0,0,67,40,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-11,0.04,0,0,68,41,53
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-12,0.16,0,0,64,42,46
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-13,0,0,0,65,38,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-14,0,0,0,70,40,46
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-15,0,0,0,80,42,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-16,0,0,0,80,48,54
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-17,0,0,0,74,40,58
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-18,0,0,0,84,43,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-19,0,0,0,86,54,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-20,0,0,0,78,50,56
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-21,0,0,0,50,38,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-22,0,0,0,64,30,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-23,0,0,0,72,42,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-24,0,0,0,75,36,42
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-25,0,0,0,76,39,47
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-26,0,0,0,75,38,44
